Substance Number;Common Name;Chemical Name;CAS Number;DOT Number;SHHS List;synonym;Source 1;CA;CO;MU;TE;F4;F3;F2;R4;R3;R2;R1;Source 2;Source 3;Source 4;Source 5;Source 6;Source 7;Source 8;Source 14;Source 15;Source 17;Source 18;Source 19;Source 20;Source 21;Source 22;non prefix
0795;DIPHENYL;1,1'-BIPHENYL;             92-52-4;3077;#;;1;CA;;;;;;;;;;;2;3;4;;6;7;8;;15;17;18;;20;;;DIPHENYL
0796;DIPHENYLAMINE;BENZENAMINE, N-PHENYL-;            122-39-4;;;;;;;;;;;;;;;;2;;4;;6;;8;;15;;18;;;;;DIPHENYLAMINE
0797;DIPHENYLAMINE CHLOROARSINE;PHENARSAZINE, 10-CHLORO-5,10-DIHYDRO-;            578-94-9;1698;;;;;;;;;;;;;;;;3;;;;;;;;17;;;;;;DIPHENYLAMINECHLOROARSINE
0798;DIPHENYLCHLOROARSINE;ARSINOUS CHLORIDE, DIPHENYL-;            712-48-1;1699;;;;;;;;;;;;;;R1;;3;;;;;;;;17;;;;;;DIPHENYLCHLOROARSINE
0799;DIPHENYL DICHLOROSILANE;SILANE, DICHLORODIPHENYL;             80-10-4;1769;#;;;;CO;;;;;;;;R2;;;3;;;;;;;15;17;;;;;;DIPHENYLDICHLOROSILANE
0800;1,2-DIPHENYLHYDRAZINE;HYDRAZINE, 1,2-DIPHENYL-;            122-66-7;3077;#;;;CA;;;;;;;;;;;;3;;5;6;;8;;;17;18;;20;21;;DIPHENYLHYDRAZINE
0801;DIPHENYLMETHYL BROMIDE;BENZENE, 1,1'-(BROMOMETHYLENE)BIS-;            776-74-9;1770;#;;;;CO;;;;;;;;;;;3;;;;;;;;17;;;;;;DIPHENYLMETHYLBROMIDE
0802;DIPICRYL SULFIDE;BENZENE, 1,1'-THIOBIS[2,4,6-TRINITRO-;           2217-06-3;0401;;;;;;;;;;;;;;;;3;;;;;;;;17;;;;;;DIPICRYLSULFIDE
0803;DIPROPYLAMINE;1-PROPANAMINE, N-PROPYL-;            142-84-7;2383;#;;;;;;;;F3;;;;;;;3;;;;;;;15;17;;;20;21;;DIPROPYLAMINE
0804;DIPROPYLENE GLYCOL METHYL ETHER;PROPANOL, 1(or 2)-(2-METHOXYMETHYLETHOXY)-;          34590-94-8;;;;1;;;;;;;F2;;;;;2;;4;;;;;;15;;;;;;;DIPROPYLENEGLYCOLMETHYLETHER
0805;DIPROPYL ETHER;PROPANE, 1,1'-OXYBIS-;            111-43-3;2384;#;;;;;;;;F3;;;;;R1;;3;;;;;;;15;17;;;;;;DIPROPYLETHER
0806;DIPROPYL KETONE;4-HEPTANONE;            123-19-3;2710;;;;;;;;;;F2;;;;;2;3;4;;;;;;15;17;;;;;;DIPROPYLKETONE
0808;DIQUAT DIBROMIDE;DIPYRIDO[1,2-a:2',1'-c] PYRAZINEDIIUM, 6,7-DIHYDRO-, DIBROMIDE;             85-00-7;2781;;;1;;;;;;;;;;;;2;3;4;;;;8;;;17;;;20;;;DIQUATDIBROMIDE
0811;DISULFIRAM;THIOPEROXYDICARBONIC DIAMIDE ([(H2N)C(S)]2S2)TETRAETHYL-;             97-77-8;;;;;;;;;;;;;;;;2;;4;;;7;;;;;;;;;;DISULFIRAM
0812;DISULFOTON;PHOSPHORODITHIOIC ACID, O,O-DIETHYL S-[2-(ETHYLTHIO)ETHYL] ESTER;            298-04-4;2783;;;;;;;;;;;;;;;2;3;4;;6;;8;14;;17;;19;20;21;;DISULFOTON
0814;2,6-DI-tert-BUTYL-p-CRESOL;PHENOL, 2,6-BIS(1,1-DIMETHYLETHYL)-4-METHYL-;            128-37-0;;;;;;;;;;;;;;;;2;;4;;;7;;;15;;;;;;;DIBUTYLCRESOL
0815;DI-tert-BUTYL PEROXIDE;PEROXIDE, BIS(1,1-DIMETHYLETHYL);            110-05-4;2102;#;;;;;;;;F3;;R4;;;;;3;;;;;;;15;17;;;;;;DIBUTYLPEROXIDE
0819;DIURON;UREA, N'-(3,4-DICHLOROPHENYL)-N,N-DIMETHYL-;            330-54-1;2767;;;;;;;;;;;;;;;2;3;4;;6;;8;;;17;18;;20;;;DIURON
0820;DIVINYL BENZENE;BENZENE, DIETHENYL-;           1321-74-0;1993;#;;;;;;;;;F2;;;R2;;2;3;4;;;;;;15;17;;;;;;DIVINYLBENZENE
0821;DIVINYL ETHER;ETHENE, 1,1'-OXYBIS-;            109-93-3;1167;#;;;;;;;F4;;;;;R2;;;3;;;;;;;15;17;;;;;;DIVINYLETHER
0822;DODECYLBENZENE SULFONIC ACID;BENZENESULFONIC ACID, DODECYL-;          27176-87-0;2584;#;;;;CO;;;;;;;;;;;3;;;;;;;;17;;;20;;;DODECYLBENZENESULFONICACID
0823;DODECYL TRICHLOROSILANE;SILANE, TRICHLORODODECYL-;           4484-72-4;1771;#;;;;CO;;;;;F2;;;R2;;;3;;;;;;;;17;;;;;;DODECYLTRICHLOROSILANE
0824;ENDOSULFAN;6,9-METHANO-2,4,3-BENZODIOXATHIEPIN, 6,7,8,9,10,10-HEXACHLORO-1,5,5a,6,9,9a-HEXAHYDRO-, 3-OXIDE;            115-29-7;2761;;;;;;;;;;;;;;;2;3;4;;6;;8;14;;17;;19;20;21;;ENDOSULFAN
0825;ENDRIN;2,7:3,6-DIMETHANONAPHTH[2,3-b]OXIRENE, 3,4,5,6,9,9-HEXACHLORO-1a,2,2a,3,6,6a,7,7a-OCTAHYDRO-, (1aR,2R,2aR,3R,6S,6aS,7S,7aS)-rel-;             72-20-8;2761;#;;1;;;;TE;;;;;;;;2;3;4;;6;7;8;14;;17;;19;20;21;;ENDRIN
0827;EPIBROMOHYDRIN;OXIRANE, (BROMOMETHYL)-;           3132-64-7;2558;;;;;;;;;;F2;;;;;;3;;;;;;;;17;;;;;;EPIBROMOHYDRIN
0828;EPICHLOROHYDRIN;OXIRANE, (CHLOROMETHYL)-;            106-89-8;2023;#;;1;CA;;MU;;;F3;;;;R2;;2;3;4;5;6;7;8;;15;17;18;19;20;21;22;EPICHLOROHYDRIN
0829;EPN;PHOSPHONOTHIOIC ACID, PHENYL-, O-ETHYL O-(4-NITROPHENYL) ESTER;           2104-64-5;2783;;;1;;;;;;;;;;;;2;3;4;;6;;8;;;17;;19;;;;EPN
0830;1,2-EPOXY-3-ETHOXYPROPANE;OXIRANE, (ETHOXYMETHYL)-;           4016-11-9;2752;;;;;;;;;;F2;;;;;;3;;;;;;;;17;;;;;;EPOXYETHYOXYPROPANE
0831;2,3-EPOXY-1-PROPANOL;OXIRANEMETHANOL;            556-52-5;2810;#;;1;CA;;MU;;;;F2;;;;;2;3;4;5;;7;;;;17;;;;;;EPOXYPROPANOL
0834;ETHANE;ETHANE;             74-84-0;1035;#;;;;;;;F4;;;;;;;2;3;;;6;;;;15;17;;;;;22;ETHANE
0835;ETHANOLAMINE;ETHANOL, 2-AMINO-;            141-43-5;2491;#;;1;;CO;;;;;F2;;;;;2;3;4;;;;;;15;17;;;;;;ETHANOLAMINE
0837;ETHION;PHOSPHORODITHIOIC ACID, S,S'-METHYLENE O,O,O',O'-TETRAETHYL ESTER;            563-12-2;2783;;;;;;;;;;;;;;;2;3;4;;6;;8;14;;17;;19;20;;;ETHION
0839;2-ETHOXYETHANOL;ETHANOL, 2-ETHOXY-;            110-80-5;1171;#;;1;;;;TE;;;F2;;;;;2;3;4;;6;;8;;15;17;18;;20;21;;ETHOXYETHANOL
0840;2-ETHOXYETHYL ACETATE;ETHANOL, 2-ETHOXY-, ACETATE;            111-15-9;1172;#;;1;;;;TE;;;F2;;;;;2;3;4;;;;;;15;17;;;;;;ETHOXYETHYLACETATE
0841;ETHYL ACETATE;ACETIC ACID, ETHYL ESTER;            141-78-6;1173;#;;1;;;;;;F3;;;;;;2;3;4;;;;8;;15;17;;;20;21;;ETHYLACETATE
0842;ETHYL ACETYLENE;1-BUTYNE;            107-00-6;2452;#;;;;;;;F4;;;;R3;;;;3;;;6;;;;;17;;;;;22;ETHYLACETYLENE
0843;ETHYL ACRYLATE;2-PROPENOIC ACID, ETHYL ESTER;            140-88-5;1917;#;;1;CA;;;;;F3;;;;R2;;2;3;4;;6;7;;;15;17;18;;20;21;22;ETHYLACRYLATE
0844;ETHYL ALCOHOL;ETHANOL;             64-17-5;1170;#;;1;CA;;MU;TE;;F3;;;;;;2;3;4;;;7;;;15;17;;;;;;ETHYLALCOHOL
0845;ETHYL ALUMINUM DICHLORIDE;ALUMINUM, DICHLOROETHYL-;            563-43-9;3052;#;;;;;;;F4;;;;R3;;;2;3;4;;;;;;15;17;;;;;;ETHYLALUMINUMDICHLORIDE
0846;ETHYL ALUMINUM SESQUICHLORIDE;ALUMINUM, DI-.MU.-CHLOROCHLOROTRIETHYLDI-;          12075-68-2;3052;#;;;;;;;;F3;;;R3;;;2;3;4;;;;;;15;17;;;;;;ETHYLALUMINUMSESQUICHLORIDE
0847;ETHYLAMINE;ETHANAMINE;             75-04-7;1036;#;;1;;;;;F4;;;;;;;2;3;4;;6;;;;15;17;;;20;;22;ETHYLAMINE
0848;ETHYL AMYL KETONE;3-HEPTANONE, 5-METHYL-;            541-85-5;2271;;;1;;;;;;;F2;;;;;2;3;4;;;;;;;17;;;;;;ETHYLAMYLKETONE
0849;2-ETHYLANILINE;BENZENAMINE, 2-ETHYL-;            578-54-1;2273;;;;;;;;;;F2;;;;;;3;;;;;;;15;17;;;;;;ETHYLANILINE2
0850;ETHYLANILINE;BENZENAMINE, N-ETHYL-;            103-69-5;2272;;;;;;;;;;F2;;;;;;3;;;;;;;15;17;;;;;;ETHYLANILINE1
0851;ETHYL BENZENE;BENZENE, ETHYL-;            100-41-4;1175;#;;1;CA;;;;;F3;;;;;;2;3;4;;6;7;8;;15;17;18;;20;;;ETHYLBENZENE
0852;ETHYLBENZYLANILINE;BENZENEMETHANAMINE, N-ETHYL-N-PHENYL-;             92-59-1;2274;;;;;;;;;;;;;;;;3;;;;;;;15;17;;;;;;ETHYLBENZYLANILINE
0853;ETHYLBENZYLTOLUIDINE;BENZENEMETHANAMINE, N-ETHYL-N-(3-METHYLPHENYL)-;            119-94-8;2753;;;;;;;;;;;;;;;;3;;;;;;;;17;;;;;;ETHYLBENZYLTOLUIDINE
0854;ETHYL BORATE;BORIC ACID (H3BO3), MONOETHYL ESTER;          34099-73-5;1176;#;;;;;;;;F3;;;;;;;3;;;;;;;15;17;;;;;;ETHYLBORATE
0855;ETHYL BROMIDE;ETHANE, BROMO-;             74-96-4;1891;#;;1;;;;;;F3;;;;;R1;2;3;4;;;7;;;15;17;;;;;;ETHYLBROMIDE
0856;ETHYL BROMOACETATE;ACETIC ACID, BROMO-, ETHYL ESTER;            105-36-2;1603;;;;;;;;;;F2;;;;R1;;3;;;;;;;15;17;;;;;;ETHYLBROMOACETATE
0857;ETHYLBUTANOL;1-BUTANOL, 2-ETHYL-;             97-95-0;2275;;;;;;;;;;F2;;;;;;3;;;;;;;15;17;;;;;;ETHYLBUTANOL
0858;ETHYL CAPROATE;HEXANOIC ACID, ETHYL ESTER;            123-66-0;1177;;;;;;;;;;F2;;;;;;3;;;;;;;15;17;;;;;;ETHYLCAPROATE
0859;ETHYLBUTYL ETHER;BUTANE, 1-ETHOXY-;            628-81-9;1179;#;;;;;;;;F3;;;;;R1;;3;;;;;;;15;17;;;;;;ETHYLBUTYLETHER1
0860;ETHYL BUTYL KETONE;3-HEPTANONE;            106-35-4;1224;;;1;;;;;;;F2;;;;;2;3;4;;;;;;15;17;;;;;;ETHYLBUTYLKETONE
0861;ETHYLBUTYRALDEHYDE;BUTANAL, 2-ETHYL-;             97-96-1;1178;#;;;;;;;;F3;;;;;R1;;3;;;;;;;15;17;;;;;;ETHYLBUTYRALDEHYDE
0862;ETHYL BUTYRATE;BUTANOIC ACID, ETHYL ESTER;            105-54-4;1180;#;;;;CO;;;;F3;;;;;;;3;;;;;;;15;17;;;;;;ETHYLBUTYRATE
0863;ETHYL CHLORIDE;ETHANE, CHLORO-;             75-00-3;1037;#;;1;;;;;F4;;;;;;;2;3;4;;6;7;8;;15;17;18;;20;;22;ETHYLCHLORIDE
0864;ETHYL CHLOROACETATE;ACETIC ACID, CHLORO-, ETHYL ESTER;            105-39-5;1181;;;;;;;;;;F2;;;;;;3;;;;;;;15;17;;;;;;ETHYLCHLOROACETATE
0865;ETHYL CHLOROFORMATE;CARBONOCHLORIDIC ACID, ETHYL ESTER;            541-41-3;1182;#;;;;CO;;;;F3;;;;;R1;;3;;;6;;;;15;17;18;;;;;ETHYLCHLOROFORMATE
0866;ETHYL-2-CHLOROPROPIONATE;PROPANOIC ACID, 2-CHLORO-, ETHYL ESTER;            535-13-7;2935;#;;;;;;;;F3;;;;;R1;;3;;;;;;;;17;;;;;;ETHYLCHLOROPROPIONATE
0867;ETHYL CHLOROTHIOFORMATE;CARBONOCHLORIDOTHIOIC ACID, O-ETHYL ESTER;           2812-73-9;2826;#;;;;CO;;;;;;;;;;;3;;;;;;;;17;;;;;;ETHYLCHLOROTHIOFORMATE
0869;ETHYL CROTONATE;2-BUTENOIC ACID, ETHYL ESTER, (2E)-;            623-70-1;1862;#;;;;;;;;F3;;;;;;;3;;;;;;;15;17;;;;;;ETHYLCROTONATE
0870;ETHYL CYANOACETATE;ACETIC ACID, CYANO-, ETHYL ESTER;            105-56-6;2666;;;;;;;;;;;;;;R1;;3;;;;;;;15;17;;;;;;ETHYLCYANOACETATE
0871;ETHYL DICHLOROARSINE;ARSONOUS DICHLORIDE, ETHYL-;            598-14-1;1892;;;;;;;;;;;;;;R1;;3;;;;;;;;17;;;;;;ETHYLDICHLOROARSINE
0872;ETHYL DICHLOROSILANE;SILANE, DICHLOROETHYL-;           1789-58-8;1183;#;;;;CO;;;;F3;;;;R2;;;3;;;;;;;15;17;;;;;;ETHYLDICHLOROSILANE
0873;ETHYLENE;ETHENE;             74-85-1;1962;#;;;;;;;F4;;;;;R2;;2;3;;;6;7;;;15;17;18;;;;22;ETHYLENE
0874;ETHYLENE CHLOROHYDRIN;ETHANOL, 2-CHLORO-;            107-07-3;1135;;;1;;;;;;;F2;;;;;2;3;4;;6;;;;15;17;;19;;;;ETHYLENECHLOROHYDRIN
0875;ETHYLENEDIAMINE;1,2-ETHANEDIAMINE;            107-15-3;1604;#;;1;;CO;;;;;F2;;;;;2;3;4;;6;;8;;15;17;;19;20;;22;ETHYLENEDIAMINE
0876;ETHYLENEDIAMINETETRAACETIC ACID;GLYCINE, N,N'-1,2-ETHANEDIYLBIS[N-(CARBOXYMETHYL)-;             60-00-4;3077;;;;;;;;;;;;;;;;3;;;;;;;;17;;;20;;;ETHYLENEDIAMINETETRAACETICACID
0877;ETHYLENE DIBROMIDE;ETHANE, 1,2-DIBROMO-;            106-93-4;1605;#;;1;CA;;MU;TE;;;;;;;;2;3;4;5;6;7;8;14;15;17;18;;20;21;22;ETHYLENEDIBROMIDE
0878;ETHYLENE GLYCOL;1,2-ETHANEDIOL;            107-21-1;3082;;;;;;;;;;;;;;;2;3;4;;6;;8;;15;17;18;;20;;;ETHYLENEGLYCOL
0879;ETHYLENE GLYCOL DIETHYL ETHER;ETHANE, 1,2-DIETHOXY-;            629-14-1;1153;#;;;;;;;;F3;;;;;;;3;;;;;;;15;17;;;;;;ETHYLENEGLYCOLDIETHYLETHER
0880;ETHYLENE GLYCOL DINITRATE;1,2-ETHANEDIOL, DINITRATE;            628-96-6;;;;1;;;;;;;;;;;;2;3;4;;;;;;;17;;;;;;ETHYLENEGLYCOLDINITRATE
0881;ETHYLENEIMINE;AZIRIDINE;            151-56-4;1185;#;;1;CA;;MU;;;F3;;;R3;;;2;3;4;;6;7;8;;15;17;18;19;20;21;22;ETHYLENEIMINE
0882;ETHYLENE OXIDE;OXIRANE;             75-21-8;1040;#;;1;CA;;MU;TE;F4;;;;R3;;;2;3;4;5;6;7;;14;15;17;18;19;20;21;22;ETHYLENEOXIDE
0883;ETHYLENE THIOUREA;2-IMIDAZOLIDINETHIONE;             96-45-7;;#;;;CA;;;TE;;;;;;;;;;4;5;6;7;8;;;;18;;20;21;;ETHYLENETHIOUREA
0884;ETHYL FLUORIDE;ETHANE, FLUORO-;            353-36-6;2453;#;;;;;;;F4;;;;;;;;3;;;;;;;15;17;;;;;;ETHYLFLUORIDE
0885;ETHYL FORMATE;FORMIC ACID, ETHYL ESTER;            109-94-4;1190;#;;1;;;;;;F3;;;;;;2;3;4;;;;;;15;17;;;;;;ETHYLFORMATE
0886;ETHYL HEXALDEHYDE;HEXANAL, 2-ETHYL-;            123-05-7;1191;;;;;;;;;;F2;;;;R1;;3;;;;;;;15;17;;;;;;ETHYLHEXALDEHYDE
0888;2-ETHYL HEXYLAMINE;1-HEXANAMINE, 2-ETHYL-;            104-75-6;2276;#;;;;CO;;;;;F2;;;;;;3;;;;;;;15;17;;;;;;ETHYLHEXYLAMINE
0890;ETHYLIDENE NORBORNENE;BICYCLO[2.2.1]HEPT-2-ENE, 5-ETHYLIDENE-;          16219-75-3;;;;;;;;;;;F2;;;;;2;;4;;;;;;;;;;;;;ETHYLIDENENORBORNENE
0891;ETHYL ISOBUTYRATE;PROPANOIC ACID, 2-METHYL-, ETHYL ESTER;             97-62-1;2385;#;;;;;;;;F3;;;;;;;3;;;;;;;15;17;;;;;;ETHYLISOBUTYRATE
0892;ETHYL ISOCYANATE;ETHANE, ISOCYANATO-;            109-90-0;2481;#;;;;;;;;F3;;;;;R1;;3;;;;;;;;17;;;;;;ETHYLISOCYANATE
0893;ETHYL LACTATE;PROPANOIC ACID, 2-HYDROXY-, ETHYL ESTER;             97-64-3;1192;;;;;;;;;;F2;;;;;;3;;;;;;;15;17;;;;;;ETHYLLACTATE
0894;ETHYL MERCAPTAN;ETHANETHIOL;             75-08-1;2363;#;;1;;;;;F4;;;;;;R1;2;3;4;;6;;;;15;17;;;;;22;ETHYLMERCAPTAN
0895;ETHYL MERCURIC CHLORIDE;MERCURY, CHLOROETHYL-;            107-27-7;2777;;;1;;;;;;;;;;;;2;3;4;;6;;;14;;17;;;20;;;ETHYLMERCURICCHLORIDE
0897;ETHYL METHACRYLATE;2-PROPENOIC ACID, 2-METHYL-, ETHYL ESTER;             97-63-2;2277;#;;;;;;;;F3;;;;R2;;;3;;;;;;;15;17;;;20;21;;ETHYLMETHACRYLATE
0898;ETHYL NITRATE;NITRIC ACID, ETHYL ESTER;            625-58-1;1993;#;;;;;;;;F3;;R4;;;;;3;;;;;;;15;17;;;;;;ETHYLNITRATE
0899;ETHYL NITRITE;NITROUS ACID, ETHYL ESTER;            109-95-5;1194;#;;;;;;;F4;;;R4;;;;;3;;;6;;;;15;17;;;;;22;ETHYLNITRITE
0900;ETHYL ORTHOFORMATE;ETHANE, 1,1',1''- [METHYLIDYNETRIS(OXY)]TRIS-;            122-51-0;2524;#;;;;;;;;F3;;;;;;;3;;;;;;;;17;;;;;;ETHYLORTHOFORMATE
0901;ETHYL OXALATE;ETHANEDIOIC ACID, DIETHYL ESTER;             95-92-1;2525;;;;;;;;;;F2;;;;R1;;3;;;;;;;15;17;;;;;;ETHYLOXALATE
0902;ETHYL PHENYL DICHLOROSILANE;SILANE, DICHLOROETHYLPHENYL-;           1125-27-5;2435;#;;;;CO;;;;;F2;;;;R1;;3;;;;;;;;17;;;;;;ETHYLPHENYLDICHLOROSILANE
0904;ETHYL PHOSPHONOUS DICHLORIDE;PHOSPHONOUS DICHLORIDE, ETHYL-;           1498-40-4;2845;;;;;;;;;;;;;;;;3;;;;;;;;17;;;;;;ETHYLPHOSPHONOUSDICHLORIDE
0906;1-ETHYL PIPERIDINE;PIPERIDINE, 1-ETHYL-;            766-09-6;2386;#;;;;;;;;F3;;;;;;;3;;;;;;;;17;;;;;;ETHYLPIPERIDINE
0907;ETHYL PROPIONATE;PROPANOIC ACID, ETHYL ESTER;            105-37-3;1195;#;;;;;;;;F3;;;;;;;3;;;;;;;15;17;;;;;;ETHYLPROPIONATE
0908;ETHYL PROPYL ETHER;PROPANE, 1-ETHOXY-;            628-32-0;2615;#;;;;;;;;F3;;;;;;;3;;;;;;;15;17;;;;;;ETHYLPROPYLETHER
0909;ETHYL SILICATE;SILICIC ACID, (H4SiO4), TETRAETHYL ESTER;             78-10-4;1292;#;;1;;;;;;F3;;;;;R1;2;3;4;;;;;;15;17;;;;;;ETHYLSILICATE
0910;ETHYL SULFURIC ACID;SULFURIC ACID, MONOETHYL ESTER;            540-82-9;2571;#;;;;CO;;;;;;;;;R1;;3;;;;;;;;17;;;;;;ETHYLSULFURICACID
0912;ETHYLTRICHLOROSILANE;SILANE, TRICHLOROETHYL-;            115-21-9;1196;#;;;;CO;;;;F3;;;;R2;;;3;;;6;;;;15;17;;19;;;;ETHYLTRICHLOROSILANE
0913;FENAMINOSULF (LESAN);DIAZENESULFONIC ACID, [4-(DIMETHYLAMINO)PHENYL]-, SODIUM SALT;            140-56-7;;;;;;;;;;;;;;;;;;;;;7;;14;;;;;;;;FENAMINOSULFLESAN
0914;FENAMIPHOS;PHOSPHORAMIDIC ACID, (1-METHYLETHYL)-, ETHYL 3-METHYL-4-(METHYLTHIO)PHENYL ESTER;          22224-92-6;2783;;;;;;;;;;;;;;;2;3;4;;6;;8;14;;17;;19;;;;FENAMIPHOS
0915;FENSULFOTHION;PHOSPHOROTHIOIC ACID, O,O-DIETHYL O-[4-(METHYLSULFINYL)PHENYL]ESTER;            115-90-2;2783;;;;;;;;;;;;;;;2;3;4;;6;;;;;17;;19;;;;FENSULFOTHION
0916;FENTHION;PHOSPHOROTHIOIC ACID, O,O-DIMETHYL O-[3-METHYL-4-(METHYLTHIO)PHENYL]ESTER;             55-38-9;3018;;;;;;;;;;;;;;;2;3;4;;6;;;14;;17;18;;;;;FENTHION
0917;FERBAM;IRON, TRIS(DIMETHYLCARBAMODITHIOATO-.kappa.S,.kappa.S')-, (OC-6-11)-;          14484-64-1;2771;;;1;;;;;;;;;;;;2;3;4;;6;7;;;;17;18;;;;;FERBAM
0918;FERRIC AMMONIUM CITRATE;1,2,3-PROPANETRICARBOXYLIC ACID, 2-HYDROXY-, AMMONIUM IRON(3+)SALT;           1185-57-5;3077;;;;;;;;;;;;;;;;3;;;;;;;;17;;;20;;;FERRICAMMONIUMCITRATE
0919;FERRIC AMMONIUM OXALATE;FERRATE(3-),TRIS[ETHANEDIOATO(2-)-.kappa.O1,.kappa.O2]-, TRIAMMONIUM, (OC-6-11)-;          14221-47-7;3077;;;;;;;;;;;;;;;;3;;;;;;;;17;;;20;;;FERRICAMMONIUMOXALATE
0920;FERRIC ARSENATE;ARSENIC ACID(H3AsO4), IRON(3+) SALT (1:1);          10102-49-5;1606;#;;1;CA;;;;;;;;;;;2;3;4;5;6;;8;;;17;18;;20;;;FERRICARSENATE
0921;FERRIC ARSENITE;IRON ARSENITE OXIDE (Fe2(AsO3)2O3),PENTAHYDRATE;          63989-69-5;1607;#;;1;CA;;;;;;;;;;;2;3;4;5;6;;8;;;17;18;;20;;;FERRICARSENITE
0923;FERRIC FLUORIDE;IRON FLUORIDE (FeF3);           7783-50-8;3077;;;;;;;;;;;;;;;;3;;;;;;;;17;;;20;;;FERRICFLUORIDE
0924;FERRIC NITRATE;NITRIC ACID, IRON(3+) SALT;          10421-48-4;1466;;;;;;;;;;;;;;;2;3;4;;;;;;;17;;;20;;;FERRICNITRATE
0925;FERRIC SULFATE;SULFURIC ACID, IRON(3+) SALT (3:2);          10028-22-5;3077;;;;;;;;;;;;;;;2;3;4;;;;;;;17;;;20;;;FERRICSULFATE
0926;FERROCERIUM;FERROCERIUM;          69523-06-4;1323;#;;;;;;;;F3;;;;;;;3;;;;;;;;17;;;;;;FERROCERIUM
0927;FERROSILICON;FERROSILICON;           8049-17-0;1408;#;;;;;;;;;F2;;;R2;;;3;;;;;;;;17;;;;;;FERROSILICON
0928;FERROUS AMMONIUM SULFATE;SULFURIC ACID, AMMONIUM IRON(2+) SALT (2:2:1);          10045-89-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;FERROUSAMMONIUMSULFATE
0929;FERROUS ARSENATE;ARSENIC ACID (H3AsO4), IRON(2+) SALT (2:3);          10102-50-8;1608;#;;1;CA;;;;;;;;;;R1;2;3;4;5;6;;8;;;17;18;;20;;;FERROUSARSENATE
0930;FERROUS CHLORIDE;IRON CHLORIDE (FeCl2);           7758-94-3;1759;#;;;;CO;;;;;;;;;;2;3;4;;;;;;;17;;;20;;;FERROUSCHLORIDE
0931;FERROUS SULFATE;SULFURIC ACID, IRON(2+) SALT (1:1);           7720-78-7;3077;;;;;;;;;;;;;;;2;3;4;;;;;;;17;;;20;;;FERROUSSULFATE
0932;FERROVANADIUM;VANADIUM ALLOY, base, V,C,Fe (FERROVANADIUM);          12604-58-9;;;;1;;;;;;;;;;;;2;;4;;;;;;;;;;;;;FERROVANADIUM
0933;FIBROUS GLASS;;;;;;1;;;;;;;;;;;;2;;4;;;7;;;;;;;;;;FIBROUSGLASS
0934;FLUOBORIC ACID;BORATE(1-), TETRAFLUORO-, HYDROGEN;          16872-11-0;1775;#;;;;CO;;;;;;;;;R1;;3;;;;;;;15;17;;;;;;FLUOBORICACID
0935;FLUOMETURON;UREA, N,N-DIMETHYL-N'-[3-TRIFLUOROMETHYL)PHENYL]-;           2164-17-2;;;;;;;;;;;;;;;;;;;;6;7;8;;;;18;;;;;FLUOMETURON
0936;FLUORIDES;;;;;;1;;;;;;;;;;;;2;;4;;;;;;;;;;;;;FLUORIDES
0937;FLUORINE;FLUORINE;           7782-41-4;1045;#;;1;;;;;;;;R4;;;;2;3;4;;6;;8;;15;17;18;19;20;21;22;FLUORINE
0938;FLUOROACETIC ACID;ACETIC ACID, FLUORO-;            144-49-0;2642;;;;;;;;;;;;;;;;3;;;6;;;;;17;;19;;;;FLUOROACETICACID
0939;FLUOROBENZENE;BENZENE, FLUORO-;            462-06-6;2387;#;;;;;;;;F3;;;;;;;3;;;;;;;15;17;;;;;;FLUOROBENZENE
0940;FLUOROPHOSPHORIC ACID;PHOSPHOROFLUORIDIC ACID;          13537-32-1;1776;#;;;;CO;;;;;;;;;R1;;3;;;;;;;;17;;;;;;FLUOROPHOSPHORICACID
0941;FLUOROSULPHONIC ACID;FLUOROSULFURIC ACID;           7789-21-1;1777;#;;;;CO;;;;;;;;R2;;;3;;;;;;;;17;;;;;;FLUOROSULPHONICACID
0942;FLUOROTOLUENE;BENZENE, FLUOROMETHYL-;          25496-08-6;2388;#;;;;;;;;F3;;;;;;;3;;;;;;;;17;;;;;;FLUOROTOLUENE
0945;FONOFOS;PHOSPHONODITHIOIC ACID, ETHYL-, O-ETHYL S-PHENYL ESTER;            944-22-9;3018;;;;;;;;;;;;;;;2;3;4;;6;;8;14;;17;;19;;;;FONOFOS
0946;FORMALDEHYDE;FORMALDEHYDE;             50-00-0;1198;#;;1;CA;CO;MU;;F4;;;;;;;2;3;4;5;6;7;8;;15;17;18;19;20;21;22;FORMALDEHYDE
0947;FORMAMIDE;FORMAMIDE;             75-12-7;;;;;;;;;;;;;;;;2;;4;;;;;;15;;;;;;;FORMAMIDE
0948;FORMIC ACID;FORMIC ACID;             64-18-6;1779;#;;1;;CO;;;;;F2;;;;;2;3;4;;6;;8;;15;17;18;;20;21;;FORMICACID
0949;FUMARIC ACID;2-BUTENEDIOIC ACID (2E)-;            110-17-8;9126;;;;;;;;;;;;;;;;3;;;;;;;;17;;;20;;;FUMARICACID
0950;FUMARIN;2H-1-BENZOPYRAN-2-ONE, 3-[1-(2-FURANYL)-3-OXOBUTYL]-4-HYDROXY-;            117-52-2;3027;;;;;;;;;;;;;;;;3;;;;;;14;;17;;;;;;FUMARIN
